   	      	            fitness            	              size             
   	      	-------------------------------	-------------------------------
gen	nevals	avg    	max    	min    	std    	avg    	max	min	std    
0  	300   	162.118	252.831	92.0454	15.8042	3.54667	7  	2  	1.49482
1  	164   	156.236	320.196	92.0454	17.9074	3.84667	14 	1  	1.93989
2  	161   	151.404	194.202	96.9361	15.8026	3.86667	11 	1  	1.69378
3  	169   	144.769	186.391	72.5537	18.8519	4.22667	10 	1  	1.80793
4  	160   	136.783	214.908	72.5537	23.3422	4.95   	15 	1  	2.15735
5  	185   	131.355	252.831	72.5537	27.7816	5.87667	21 	1  	2.34552
6  	165   	121.85 	264.928	72.5537	30.2715	6.35   	15 	1  	2.28345
7  	165   	113.862	268.351	68.1175	27.7342	6.69   	15 	1  	2.24957
8  	159   	110.211	285.287	55.1298	30.0533	7.37667	15 	2  	2.16521
9  	168   	104.033	252.352	52.0927	29.0969	7.59333	17 	1  	2.1279 
10 	165   	102.755	550.567	52.0927	46.7667	7.66   	17 	1  	2.24894
11 	160   	95.8374	551.084	52.0927	40.9163	7.58   	16 	1  	2.16416
12 	172   	95.3223	375.39 	43.3169	40.4069	7.88333	17 	1  	2.36144
13 	172   	90.9546	326.248	27.0044	39.2946	7.98333	15 	1  	2.22779
14 	159   	110.624	3976.7 	27.0044	280.592	8.91   	19 	1  	2.66869
15 	167   	82.0848	541.439	27.0044	49.2405	9.99333	24 	2  	3.16438
16 	175   	85.7959	906.005	27.0044	79.5104	11.59  	23 	1  	3.66814
17 	163   	91.9483	4187.35	23.5247	249.432	12.5933	23 	1  	3.51681
18 	168   	84.5908	1779.54	23.5247	142.366	13.2333	23 	2  	3.42134
19 	152   	71.9312	1777.76	13.7879	108.786	13.7333	33 	1  	3.98776
20 	172   	91.9859	2508.87	13.7879	233.233	14.8333	33 	3  	4.08316
21 	179   	82.5617	1559.77	13.7879	141.361	15.2933	33 	1  	4.23878
22 	156   	84.2151	1625.14	13.7879	174.849	16.0867	37 	1  	4.30416
23 	166   	120.44 	5315.62	13.7879	462.387	16.1433	31 	1  	4.52358
24 	159   	80.1472	2947.84	11.6965	245.695	16.51  	34 	3  	4.22413
25 	151   	66.218 	1233.53	11.6965	125.118	16.3333	29 	4  	3.88187
26 	176   	101.584	5315.62	11.6965	351.145	16.4167	27 	4  	4.1669 
27 	159   	1357.86	387853 	11.6965	22352.1	16.0067	29 	1  	3.57491
28 	174   	68.7236	2527.17	11.6965	207.06 	16.0433	27 	1  	3.32988
29 	153   	86.1309	2620.18	10.9047	227.68 	16.2467	27 	2  	3.55797
30 	152   	57.0078	1445.84	10.9047	136.023	16.6867	27 	3  	3.12759
31 	149   	53.5397	1248.42	10.9047	136.51 	16.9833	32 	7  	2.92057
32 	179   	65.3904	1378.29	10.9047	157.345	16.8433	27 	1  	3.43397
33 	168   	72.5845	2249.19	10.9047	204.674	16.9867	29 	1  	3.2031 
34 	180   	88.9695	2931.05	9.58694	309.567	17.23  	29 	4  	2.96374
35 	166   	55.6647	1436.73	8.41391	150.48 	17.3   	30 	7  	2.84781
36 	182   	71.5952	1354.11	10.9047	172.141	17.4467	28 	3  	3.51575
37 	162   	66.6451	2931.05	10.9047	211.502	17.6233	29 	1  	3.62787
38 	155   	80.259 	2931.05	10.9047	268.095	17.81  	31 	1  	3.7772 
39 	152   	83.8202	3031.56	10.9047	302.574	18.13  	36 	3  	3.58884
40 	157   	88.5018	4535.42	10.9047	340.53 	18.1533	29 	1  	3.52654
41 	181   	81.4015	2641.07	10.9047	272.109	18.4567	31 	1  	3.37265
42 	169   	67.9209	2701.78	9.97274	219.711	18.4333	31 	4  	3.74062
43 	169   	61.9543	1877.61	10.0361	181.436	18.74  	34 	3  	3.85648
44 	152   	49.0036	2122.03	10.0361	145.286	19.03  	33 	3  	3.67729
45 	150   	35.0295	1264.14	10.0361	100.684	19.28  	34 	1  	3.60485
46 	158   	80.526 	3031.56	10.0361	289.875	19.3167	34 	2  	4.1693 
47 	166   	49.0939	2373.96	10.0361	159.234	19.4367	38 	1  	3.56548
48 	165   	81.7169	2719.15	9.30031	298.122	19.56  	36 	3  	3.88326
49 	162   	58.0862	2473.63	8.43437	216.453	20.2067	36 	2  	4.04936
50 	181   	66.4357	4425.37	6.20789	314.578	20.5967	35 	3  	4.36738
51 	166   	63.4312	3031.56	8.47812	268.841	21.1833	42 	1  	4.75567
52 	169   	53.1787	2752.45	5.39373	210.958	22.2033	49 	2  	5.22002
53 	185   	89.951 	2890.27	5.39373	345.079	23.0767	52 	1  	6.78116
54 	185   	60.8796	2752.45	5.39373	270.408	24.44  	50 	2  	7.27734
55 	141   	36.8151	2719.15	5.39373	162.86 	26.21  	54 	1  	8.4502 
56 	154   	48.1124	2300.62	5.39373	215.727	28.4967	69 	10 	10.2312
57 	191   	66.773 	3203.38	5.39373	261.322	29.87  	68 	4  	11.4755
58 	183   	56.4842	3246.07	5.35092	251.193	32.0567	71 	7  	12.0278
59 	173   	50.0063	2927.51	3.93545	236.445	35.1267	64 	3  	11.4637
60 	165   	41.0084	2774.13	3.93545	169.562	36.2933	66 	1  	11.4082
61 	154   	27.856 	669.927	3.93545	62.8458	38.11  	83 	13 	11.7049
62 	190   	70.1322	5696.06	3.93545	395.204	38.7767	83 	1  	10.9139
63 	166   	37.6875	2988.91	3.93545	185.349	39.7633	71 	13 	8.83368
64 	157   	51.6926	5840.78	3.93545	359.046	39.39  	75 	7  	8.3597 
65 	171   	27.6358	774.318	3.93545	66.7143	39.88  	71 	13 	8.55992
66 	146   	38.0554	2299.13	3.93545	172.357	39.4367	71 	3  	8.04566
