gen	nevals	avg   	std    	min	max
0  	100   	265.78	89.4698	90 	436
1  	68    	327.48	74.1111	184	462
2  	63    	341.44	82.4341	105	473
3  	65    	360   	82.946 	80 	473
4  	64    	373.8 	87.5897	106	480
5  	62    	387.79	93.5854	99 	480
6  	58    	395   	98.3146	81 	487
7  	63    	414.14	94.7052	192	487
8  	53    	424.1 	95.8991	73 	518
9  	57    	412.72	103.388	184	518
10 	65    	431.86	95.3003	73 	518
11 	57    	412.16	117.718	42 	527
12 	71    	411.56	116.496	80 	527
13 	69    	441.69	99.9727	81 	527
14 	50    	479.76	61.3479	196	527
15 	66    	479.98	69.7645	196	528
16 	59    	472.77	103.148	180	537
17 	60    	468.62	121.304	30 	537
18 	43    	505.36	75.6646	99 	539
19 	63    	506.62	76.5629	171	539
20 	58    	492.29	106.31 	99 	545
21 	69    	481.52	117.499	16 	546
22 	75    	477.31	118.229	99 	545
23 	58    	488.16	111.121	99 	545
24 	67    	488.21	107.608	99 	545
25 	61    	488.27	106.46 	99 	545
26 	57    	497.09	102.699	99 	545
27 	60    	500.69	95.57  	196	546
28 	62    	513.48	79.5729	64 	546
29 	61    	512.62	79.8593	171	546
30 	65    	489.06	103.008	196	546
31 	54    	503.73	90.0755	196	546
32 	69    	490.1 	103.66 	196	546
33 	61    	493.09	99.4971	196	546
34 	68    	493.71	96.602 	196	546
35 	58    	505.56	79.7716	196	546
36 	60    	514.33	75.8476	189	546
37 	58    	482.97	109.953	196	548
38 	56    	478.84	110.495	196	546
39 	62    	520.2 	61.0308	196	546
40 	64    	487.32	106.081	196	547


Obtained Function i.e individual in hall of fame
################################################
not_(lt(protectedDiv(59.16397313634473, mul(IN6, IN2)), mul(IN4, IN5)))


Accuracy in training set: 0.9785714285714285


Accuracy in test set: 0.9496402877697842

